#,Name,Symbol,On Exchange,% Supply On Exchange,1D Change,1D Change %,7D Change,7D Change %,30D Change,30D Change %
209,PlayDapp,PDA,67778458.0,9.68,0.0,0.0,-2.118e-05,0.0,15224729.41,28.97
210,tomiNet,TOMI,7318135.0,5.85,87985.79,1.22,199641.05,2.8,1451483.35,24.74
211,XYO Network,XYO,1220969774.0,8.76,-16393693.69,-1.32,-26468856.82,-2.12,-55198409.59,-4.33
212,MOBOX,MBOX,158580028.0,42.86,60152.08,0.04,-437991.16,-0.28,-3559088.16,-2.2
213,SuperRare,RARE,120596993.0,12.06,-430102.93,-0.36,407230.01,0.34,950459.47,0.79
214,Polkastarter,POLS,30093227.0,30.09,-79269.49,-0.26,-687845.22,-2.23,-643336.38,-2.09
215,Phala,PHA,191221728.0,19.12,627934.12,0.33,6305435.99,3.41,19113292.46,11.11
216,Spell Token,SPELL,36468415324.0,18.61,-105673472.0,-0.29,3352440077.0,10.12,4694117598.0,14.77
217,Highstreet,HIGH,33533539.0,33.53,302273.58,0.91,947093.91,2.91,1119093.62,3.45
218,Everscale,EVER,103300622.0,4.91,177691.02,0.17,-36800.06,-0.04,4268726.83,4.31
219,LooksRare,LOOKS,199126811.0,19.91,5635734.99,2.91,3019808.94,1.54,45148240.79,29.32
220,Binance USD,BUSD,2460437240.0,2911.37,1286811.79,0.05,-9625696.23,-0.39,9271729.9,0.38
221,Elastos,ELA,1875325.0,7.37,4500.56,0.24,10988.33,0.59,18780.72,1.01
222,ARPA,ARPA,518714985.0,25.94,2194780.93,0.42,56568811.85,12.24,1894054.55,0.37
223,StormX,STMX,2453844534.0,19.63,-28652401.18,-1.15,-95347624.33,-3.74,43687672.59,1.81
224,Dogelon Mars,ELON,177600010411984.0,17.76,1062915140220.0,0.6,1829740393984.0,1.04,15346632920575.0,9.46
225,Hifi Finance V2,HIFI,39552585.0,28.13,-1684958.2,-4.09,586045.26,1.5,5779553.7,17.11
226,Gods Unchained,GODS,22153937.0,4.43,107224.45,0.49,748617.94,3.5,999070.61,4.72
227,QuarkChain,QKC,919930260.0,9.2,-4112718.51,-0.45,24676918.4,2.76,53463338.08,6.17
228,Phoenix Global (new),PHB,29252663.0,60.68,-19097.12,-0.07,397429.73,1.38,488625.77,1.7
229,Badger DAO,BADGER,6563998.0,31.26,24394.4,0.37,-51485.03,-0.78,66740.37,1.03
230,Republic Protocol,REN,429077515.0,42.91,892982.82,0.21,241985.83,0.06,6920796.54,1.64
231,Viction,VIC,26962027.0,26.96,-15676.46,-0.06,36549.09,0.14,221370.49,0.83
232,TrueFi,TRU,447369871.0,36.54,889610.26,0.2,10140778.6,2.32,24107730.55,5.7
233,Mines of Dalarnia,DAR,178062953.0,22.26,343915.19,0.19,-436983.46,-0.24,-393536.84,-0.22
234,Streamr,DATA,490238481.0,45.91,687227.24,0.14,641529.87,0.13,-2772568.56,-0.56
235,Verasity,VRA,17185569278.0,17.14,11121500.34,0.06,-75919657.59,-0.44,-665569088.0,-3.73
236,Alien Worlds,TLM,2379427695.0,37.87,14834799.33,0.63,12821454.73,0.54,59215557.14,2.55
237,Aergo,AERGO,81644187.0,16.33,484383.31,0.6,4106837.0,5.3,8459970.76,11.56
238,Orion Protocol,ORN,25482920.0,25.48,71196.95,0.28,2875403.28,12.72,4905420.54,23.84
239,Radio Caca,RACA,78747393052.0,18.25,47260664.44,0.06,886892634.0,1.14,2507376212.0,3.29
240,Router Protocol,ROUTE,2738090.0,13.69,7212.03,0.26,7932.64,0.29,209955.24,8.3
241,Alchemix,ALCX,538686.0,22.51,-3293.36,-0.61,22497.72,4.36,16342.98,3.13
242,Sweatcoin,SWEAT,145751357.0,0.67,1818586.64,1.26,-804252.2,-0.55,-5045506.47,-3.35
243,Function X,FX,7265336.0,1.78,-96044.5,-1.3,-51810.86,-0.71,-344366.82,-4.53
244,Beta Finance,BETA,57379302.0,5.74,-245782.2,-0.43,613641.09,1.08,-13458.67,-0.02
245,FUNToken,FUN,3526738130.0,32.52,-14999248.2,-0.42,194528630.0,5.84,454274913.0,14.79
246,Ampleforth Governance Token,FORTH,3703345.0,24.21,58153.11,1.6,23435.69,0.64,523428.64,16.46
247,Mdex,MDX,205098078.0,19.35,110080.89,0.05,478342.82,0.23,3413332.65,1.69
248,Automata Network,ATA,305915019.0,30.59,1192127.46,0.39,8235397.21,2.77,11442124.58,3.89
249,Frontier,FRONT,39667535.0,39.67,701465.2,1.8,552438.58,1.41,-20078.07,-0.05
250,Linear Finance,LINA,4070663022.0,40.71,12393593.26,0.31,5821614.96,0.14,135979492.0,3.46
251,DIA,DIA,44954888.0,26.63,429915.24,0.97,367150.42,0.82,-71753.11,-0.16
252,Morpheus Network,MNW,7377002.0,15.4,44217.26,0.6,173676.72,2.41,417114.11,5.99
253,Aavegotchi,GHST,12810740.0,24.29,6890.74,0.05,-21222.86,-0.17,200972.19,1.59
254,LeverFi,LEVER,24215409919.0,69.19,-346576360.0,-1.41,-406531094.0,-1.65,281479448.0,1.18
255,Assemble Protocol,ASM,25531437.0,1.7,2775145.7,12.2,6530378.53,34.37,12437389.44,94.99
256,IDEX Token,IDEX,309668088.0,30.97,3639613.86,1.19,1552519.0,0.5,4228567.49,1.38
257,Measurable Data Token,MDT,534518634.0,53.45,6122131.21,1.16,3421182.71,0.64,-16666075.17,-3.02
